rating,tips,cat_name,cat_parent
8.0,Enjoy a Vietnamese ice coffee and Thit Nuong grilled pork from their Saigon style street cafe. Lovely stuff!,Coffee Shop,
6.6,Nice spot for breakfast and lunch. Try the Ruanda flavoured coffee,Coffee Shop,
,Cheap and tasty takeaway sandwiches and fresh juice,Coffee Shop,
,,Coffee Shop,
,,Coffee Shop,
7.1,"Mocha cortado to die for,yummy yum yum",Coffee Shop,
6.7,The people who work there are really great and very friendly.,Coffee Shop,
6.7,I luv starbucks can't get enough :-),Coffee Shop,
6.4,,Coffee Shop,
6.3,"Right next to the airport, so it's handy in case of a delayed flight or if you just arrived and you need a cup of coffee!",Coffee Shop,
6.4,The worst coffee in town!!,Coffee Shop,
6.2,,Coffee Shop,
6.1,,Coffee Shop,
6.1,Be nice to the staff here. Or you'll have me to deal with.,Coffee Shop,
,,Coffee Shop,
5.9,Excellent breakfasts and great service,Coffee Shop,
5.8,I've tried this Costa 5 times at least and not had a good cup of coffee yet,Coffee Shop,
6.1,Most  enjoyable.,Coffee Shop,
,,Coffee Shop,
5.8,Good coffee and pie.,Coffee Shop,
5.7,Flat White,Coffee Shop,
,,Coffee Shop,
5.4,Pretty small but handy to have right by the station,Coffee Shop,
,,Coffee Shop,
,,Coffee Shop,
4.8,greaaaaattt wake up call!,Coffee Shop,
6.7,A great place to pick up a quick bite to eat and a coffee before rushing to work. Great service and value for money.,Coffee Shop,
9.1,"Stunning riverside coffee shop, you could basically sit anywhere you want. Coffee and dessert are great. I enjoyed a breezy summer here.",Coffee Shop,
9.2,The coffee was great but very small coffee shop and limited options of desserts.,Coffee Shop,
,Very good service. The waitress is really nice. Quick service. Big plates of food and really cheap! More than yu can imagine. I will repeat for sure. 👌,Coffee Shop,
9.3,"Arguably Fitzrovia's busiest and best Coffee Shop. The cappuccinos and lattes come highly milk-decorated and recommended, but desserts like whoopie pies and Aussie-style Portuguese tarts are quality.",Coffee Shop,
7.4,great coffee and homemade cakes. no extra charge for soja milk :),Coffee Shop,
6.6,"Love this place. Pizza, pastries and cornbread are super yum!",Coffee Shop,
8.6,"Definitely my new favourite place recently. Great coffee, friendly staff, cozy environment- small garden to sit in the back. Not even to mention the food, not matter it is a sandwich, salad or dessert",Coffee Shop,
8.6,"Definitely my new favourite place recently. Great coffee, friendly staff, cozy environment- small garden to sit in the back. Not even to mention the food, not matter it is a sandwich, salad or dessert",Coffee Shop,
9.1,Lovely little place! Nice flat white and sandwich,Coffee Shop,
5.7,Decent Cappuccino here if you want to try an independent coffee. Lots of pastries and sandwich selections. Also tucked away so if you want a quiet and private meeting this is the place to come.,Coffee Shop,
6.9,"Quiet coffee place offers simple snacks, outside seatings and very good prices. Coffee is not bad at all",Coffee Shop,
7.4,great coffee and homemade cakes. no extra charge for soja milk :),Coffee Shop,
6.3,Μου σφύριξαν ότι το χει Έλληνας. Το καταλαβαίνεις από τη lounge μουσική.,Coffee Shop,
8.4,Lovely spot for a coffee along the canal.,Coffee Shop,
6.9,The milk they use is really good - believe it comes from a small farm in Bristol. Leads to good milk based espresso drinks: won't go wrong with latte/flat white/cappuccino. Nice ambience,Coffee Shop,
7.1,Trying out their very festive Black Forest Hot Chocolate and Chocolate and Orange tart! :-) Try it too!,Coffee Shop,
